"source_genesymbol","target_genesymbol","interact"
"LYN","ACSL3",0
"RAC1","TRPM2",0
"ELP3","GJA1",0
"NEDD4","GJA1",0
"EPS15","GJA1",0
"UBQLN4","GJA1",0
"SGSM3","GJA1",0
"FKBP5","HSP90AA1",0
"VMP1","TJP1",0
"TJP1","ARVCF",0
"CDC42BPB","TJP1",0
"KIRREL1","TJP1",0
"UBN1","TJP1",0
"HSF1","HSPA8",0
"STUB1","HSPA8",0
"HSPA8","RB1",0
"REL","HSPA8",0
"CYCS","HSPA8",0
"SNCA","HSPA8",0
"HSPA8","LDHA",0
"HSPA4","HSPA8",0
"CFTR","HSPA8",0
"STIP1","HSPA8",0
"HSPA8","CLTA",0
"BAG6","HSPA8",0
"HSPA8","SOD1",0
"ERG","HSPA8",0
"HTN3","HSPA8",0
"HSPH1","HSPA8",0
"GLIPR1","HSPA8",0
"HSPA8","ALDOB",0
"DNAJB14","HSPA8",0
"DNAJA1","HSPA8",0
"METTL21A","HSPA8",0
"HSPA8","GOT2",0
"UBE3B","CALM3",0
"WWTR1","CCAR1",0
"CBY1","YWHAZ",0
"CBY1","LSG1",0
"CSF2RB","EPOR",0
"SCFD1","STX5",0
"STX5","SEC22B",0
"STX3","P61763",0
"STX3","P60878",0
"STXBP2","STX3",0
"CPLX2","STX3",0
"STMN2","RGS6",0
"STMN2","RGS20",0
"CACNA1C","BIN1",0
"KCNE2","CACNA1C",0
"TNNT2","TPM1",0
"TPM1","TPM2",0
"TNNT1","TPM1",0
"KPNA2","EPB41",0
"IQGAP1","EPB41",0
"TUBA4A","EPB41",0
"EPB41","GYPC",0
"EPB41","SLC4A1",0
"BCAM","EPB41",0
"CLNS1A","EPB41",0
"EPB41","EIF3G",0
"SPTB","EPB41",0
"STIM2","STIM1",0
"FGFR1","YES1",0
"TRPC1","FGFR1",0
"L1CAM","FGFR1",0
"FGFR1","HTR1A",0
"KLB","FGFR1",0
"FLRT1","FGFR1",0
"IFT57","BLOC1S2",0
"TRPM4","ABCC8",0
"ABCC8","CRYBB1",0
"KCNJ11","ABCC8",0
"ABCC8","ENSA",0
"KCNJ8","ABCC8",0
"LAPTM5","NEDD4",0
"FAF1","VCP",0
"VCP","SCD",0
"COPS5","VCP",0
"VCP","NF1",0
"VCP","NFKBIA",0
"VCP","BRCA1",0
"OTUB1","VCP",0
"BTRC","VCP",0
"VCP","POLR2A",0
"WRN","VCP",0
"VCP","ADRB2",0
"VCP","IQGAP1",0
"TARDBP","VCP",0
"VCP","MFN2",0
"VCP","PSAP",0
"PLAA","VCP",0
"BRSK2","VCP",0
"VCP","APOB",0
"VCPIP1","VCP",0
"SH2D2A","VCP",0
"NUB1","VCP",0
"L3MBTL1","VCP",0
"SVIP","VCP",0
"RNF19A","VCP",0
"VCP","UBE4B",0
"NGLY1","VCP",0
"VCP","IGHM",0
"YOD1","VCP",0
"UBXN6","VCP",0
"VCP","UBXN7",0
"DERL1","VCP",0
"SELENOS","VCP",0
"TRPV1","CDH1",0
"MDM2","CDH1",0
"CDC20","CDH1",0
"IRS1","CDH1",0
"HIST1H3J","CDH1",0
"MYO6","CDH1",0
"SKP2","CDH1",0
"RRM2","CDH1",0
"SIX1","CDH1",0
"UBE2D2","CDH1",0
"ANK2","CDH1",0
"DAPK1","PDCD6",0
"PDCD6IP","PDCD6",0
"CHERP","PDCD6",0
"PEF1","PDCD6",0
"DCTN2","PDCD6",0
"CAV3","SRC",0
"PTPA","SRC",0
"CD44","SRC",0
"PTPRR","SRC",0
"SRC","EFS",0
"SCG3","TRPA1",0
"TRPV1","TRPA1",0
"CALR","APP",0
"CALR","NR3C1",0
"CALR","THBS1",0
"NKX2-1","CALR",0
"CALR","MBL2",0
"CALR","TRIM21",0
"FBN1","CALR",0
"CALR","APOB",0
"SLC6A4","CALR",0
"CALR","FGB",0
"CALR","HLA-E",0
"CALR","PLAT",0
"PDIA2","CALR",0
"CALR","PRF1",0
"TRPV6","NEDD4",0
"STIM1","PDIA3",0
"STIM1","ATP2B4",0
"TERF2","BRCA1",0
"TINF2","TERF2",0
"BARD1","TERF2",0
"SIAH1","TERF2",0
"NOS2","SLC9A3R1",0
"ABCC2","SLC9A3R1",0
"CXCR2","SLC9A3R1",0
"FZD4","SLC9A3R1",0
"ABCC4","SLC9A3R1",0
"SLC9A3","SLC9A3R1",0
"SLC4A8","SLC9A3R1",0
"RLBP1","SLC9A3R1",0
"LAPTM4B","NEDD4",0
"CASP4","APP",0
